,og_index,SRC_AIRPT_ID,SRCNAME,DESTIN_AIRPT_ID,DESTINNAME,seconds,meters,SRCIATA,DESTINIATA
5894,35883,3682,Hartsfield Jackson Atlanta International Airport,3732,Monroe Regional Airport,13535,397237,ATL,MLU
5895,35884,3682,Hartsfield Jackson Atlanta International Airport,3782,Mobile Regional Airport,30632,938652,ATL,MOB
5896,35885,3682,Hartsfield Jackson Atlanta International Airport,3459,Dane County Regional Truax Field,73479,2245964,ATL,MSN
5897,35886,3682,Hartsfield Jackson Atlanta International Airport,3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,73,73,ATL,MSP
5898,35887,3682,Hartsfield Jackson Atlanta International Airport,3861,Louis Armstrong New Orleans International Airport,28398,824263,ATL,MSY
5899,35888,3682,Hartsfield Jackson Atlanta International Airport,1825,General Mariano Escobedo International Airport,4945,150759,ATL,MTY
5900,35889,3682,Hartsfield Jackson Atlanta International Airport,346,Munich Airport,159925,4077708,ATL,MUC
5901,35890,3682,Hartsfield Jackson Atlanta International Airport,3515,Myrtle Beach International Airport,24589,752597,ATL,MYR
5902,35891,3682,Hartsfield Jackson Atlanta International Airport,4386,Albert J Ellis Airport,163646,4081552,ATL,OAJ
5903,35892,3682,Hartsfield Jackson Atlanta International Airport,3863,Will Rogers World Airport,22121,691478,ATL,OKC
5904,35893,3682,Hartsfield Jackson Atlanta International Airport,3454,Eppley Airfield,41684,1281780,ATL,OMA
5905,35894,3682,Hartsfield Jackson Atlanta International Airport,3830,Chicago O'Hare International Airport,28216,860393,ATL,ORD
5906,35895,3682,Hartsfield Jackson Atlanta International Airport,3611,Norfolk International Airport,34339,1038878,ATL,ORF
5907,35896,3682,Hartsfield Jackson Atlanta International Airport,3722,Palm Beach International Airport,72664,2255539,ATL,PBI
5908,35897,3682,Hartsfield Jackson Atlanta International Airport,3720,Portland International Airport,42009,1299094,ATL,PDX
5909,35898,3682,Hartsfield Jackson Atlanta International Airport,3633,Newport News Williamsburg International Airport,11353,314658,ATL,PHF
5910,35899,3682,Hartsfield Jackson Atlanta International Airport,3752,Philadelphia International Airport,49424,1454117,ATL,PHL
5911,35900,3682,Hartsfield Jackson Atlanta International Airport,3462,Phoenix Sky Harbor International Airport,37636,1153469,ATL,PHX
5912,35903,3682,Hartsfield Jackson Atlanta International Airport,3564,Pensacola Regional Airport,16944,444840,ATL,PNS
5913,35904,3682,Hartsfield Jackson Atlanta International Airport,3641,Theodore Francis Green State Airport,73100,2281101,ATL,PVD
5914,35905,3682,Hartsfield Jackson Atlanta International Airport,3862,Portland International Jetport Airport,22545,665372,ATL,PWM
5915,35906,3682,Hartsfield Jackson Atlanta International Airport,3626,Raleigh Durham International Airport,26872,816840,ATL,RDU
5916,35907,3682,Hartsfield Jackson Atlanta International Airport,3608,Richmond International Airport,46297,1386409,ATL,RIC
5917,35908,3682,Hartsfield Jackson Atlanta International Airport,4016,Roanoke–Blacksburg Regional Airport,44555,1308396,ATL,ROA
5918,35909,3682,Hartsfield Jackson Atlanta International Airport,3622,Greater Rochester International Airport,19587,602068,ATL,ROC
5919,35911,3682,Hartsfield Jackson Atlanta International Airport,3731,San Diego International Airport,32473,1028557,ATL,SAN
