,Unnamed: 0,SRC_AIRPT_ID,SRCNAME,DESTIN_AIRPT_ID,DESTINNAME,seconds,meters,SRCIATA,DESTINIATA,SRC_AIRPT,DESTN_AIRPT,EQPT,Population,Incoming,Outgoing
301,1690,3520,Ronald Reagan Washington National Airport,100,Ottawa Macdonald-Cartier International Airport,32181,907140,DCA,YOW,DCA,YOW,CRJ,,9,92
307,1691,3520,Ronald Reagan Washington National Airport,146,Montreal / Pierre Elliott Trudeau International Airport,33050,953750,DCA,YUL,DCA,YUL,CRJ,,28,92
308,1710,3494,Newark Liberty International Airport,178,Calgary International Airport,129814,3836223,EWR,YYC,EWR,YYC,E90,,17,94
310,1712,3533,Fort Lauderdale Hollywood International Airport,146,Montreal / Pierre Elliott Trudeau International Airport,85592,2617735,FLL,YUL,FLL,YUL,320,,28,79
312,1712,3533,Fort Lauderdale Hollywood International Airport,146,Montreal / Pierre Elliott Trudeau International Airport,85592,2617735,FLL,YUL,FLL,YUL,310,,28,79
314,1712,3533,Fort Lauderdale Hollywood International Airport,146,Montreal / Pierre Elliott Trudeau International Airport,85592,2617735,FLL,YUL,FLL,YUL,73W,,28,79
318,1716,3714,Washington Dulles International Airport,146,Montreal / Pierre Elliott Trudeau International Airport,34092,986700,IAD,YUL,IAD,YUL,ERJ CRJ,,28,92
319,1723,3585,Indianapolis International Airport,193,Lester B. Pearson International Airport,28074,833198,IND,YYZ,IND,YYZ,CRJ,,48,34
320,1737,3458,Kansas City International Airport,193,Lester B. Pearson International Airport,52327,1594635,MCI,YYZ,MCI,YYZ,CRJ,,48,43
322,1738,3878,Orlando International Airport,146,Montreal / Pierre Elliott Trudeau International Airport,76840,2336963,MCO,YUL,MCO,YUL,319,,28,105
324,1738,3878,Orlando International Airport,146,Montreal / Pierre Elliott Trudeau International Airport,76840,2336963,MCO,YUL,MCO,YUL,330,,28,105
325,1740,3542,Harrisburg International Airport,193,Lester B. Pearson International Airport,23268,637799,MDT,YYZ,MDT,YYZ,BEH,,48,12
329,1742,3576,Miami International Airport,193,Lester B. Pearson International Airport,78592,2395507,MIA,YYZ,MIA,YYZ,E90,,48,83
333,1742,3576,Miami International Airport,193,Lester B. Pearson International Airport,78592,2395507,MIA,YYZ,MIA,YYZ,738,,48,83
334,1743,3717,General Mitchell International Airport,193,Lester B. Pearson International Airport,31744,969494,MKE,YYZ,MKE,YYZ,CRJ,,48,30
338,1750,3861,Louis Armstrong New Orleans International Airport,193,Lester B. Pearson International Airport,67668,2080967,MSY,YYZ,MSY,YYZ,CRA,,48,48
344,1764,3752,Philadelphia International Airport,193,Lester B. Pearson International Airport,27544,769245,PHL,YYZ,PHL,YYZ,E75,,48,100
346,1764,3752,Philadelphia International Airport,193,Lester B. Pearson International Airport,27544,769245,PHL,YYZ,PHL,YYZ,CRJ E75,,48,100
347,1765,3462,Phoenix Sky Harbor International Airport,193,Lester B. Pearson International Airport,115727,3536580,PHX,YYZ,PHX,YYZ,319,,48,84
348,1767,3626,Raleigh Durham International Airport,193,Lester B. Pearson International Airport,43039,1185076,RDU,YYZ,RDU,YYZ,CRJ,,48,38
