,og_index,SRC_AIRPT_ID,SRCNAME,DESTIN_AIRPT_ID,DESTINNAME,seconds,meters
230,2563,7095,Kwethluk Airport,3599,Bethel Airport,\N,\N
231,2564,7208,Koyukuk Airport,3764,Edward G. Pitka Sr Airport,\N,\N
232,2565,7097,Marshall Don Hunter Sr Airport,7098,Russian Mission Airport,\N,\N
233,2566,5966,Mountain Village Airport,6718,St Mary's Airport,\N,\N
234,2567,6720,Mekoryuk Airport,3599,Bethel Airport,\N,\N
235,2568,8199,Nightmute Airport,8200,Toksook Bay Airport,\N,\N
236,2569,7092,Nuiqsut Airport,3571,Wiley Post Will Rogers Memorial Airport,\N,\N
237,2570,7092,Nuiqsut Airport,3620,Deadhorse Airport,\N,\N
238,2571,7111,Nulato Airport,3764,Edward G. Pitka Sr Airport,\N,\N
239,2572,7111,Nulato Airport,6717,Kaltag Airport,\N,\N
240,2573,7180,Kobuk Airport,7177,Ambler Airport,\N,\N
241,2574,7180,Kobuk Airport,3693,Ralph Wien Memorial Airport,\N,\N
242,2575,3615,Nome Airport,7184,Elim Airport,\N,\N
243,2576,3615,Nome Airport,6715,Gambell Airport,\N,\N
244,2577,3615,Nome Airport,7185,Golovin Airport,\N,\N
245,2578,3615,Nome Airport,7183,Brevig Mission Airport,\N,\N
246,2579,3615,Nome Airport,6723,Shishmaref Airport,\N,\N
247,2580,3615,Nome Airport,7192,Shaktoolik Airport,\N,\N
248,2581,3615,Nome Airport,6724,Savoonga Airport,\N,\N
249,2582,3615,Nome Airport,7186,Teller Airport,9280,109189
250,2583,3615,Nome Airport,7088,Unalakleet Airport,\N,\N
251,2584,3615,Nome Airport,7187,Wales Airport,\N,\N
252,2585,3615,Nome Airport,7188,White Mountain Airport,\N,\N
253,2586,8200,Toksook Bay Airport,6720,Mekoryuk Airport,\N,\N
254,2587,7181,Robert (Bob) Curtis Memorial Airport,7179,Bob Baker Memorial Airport,\N,\N
255,2588,7181,Robert (Bob) Curtis Memorial Airport,3693,Ralph Wien Memorial Airport,\N,\N
256,2589,3693,Ralph Wien Memorial Airport,7177,Ambler Airport,\N,\N
257,2590,3693,Ralph Wien Memorial Airport,7178,Buckland Airport,\N,\N
258,2591,3693,Ralph Wien Memorial Airport,6755,Deering Airport,\N,\N
259,2592,3693,Ralph Wien Memorial Airport,7179,Bob Baker Memorial Airport,\N,\N
260,2593,3693,Ralph Wien Memorial Airport,7181,Robert (Bob) Curtis Memorial Airport,\N,\N
261,2594,3693,Ralph Wien Memorial Airport,7117,Shungnak Airport,\N,\N
262,2595,3693,Ralph Wien Memorial Airport,7182,Selawik Airport,\N,\N
263,2596,3693,Ralph Wien Memorial Airport,6725,Noatak Airport,\N,\N
264,2597,3414,Point Lay LRRS Airport,3571,Wiley Post Will Rogers Memorial Airport,\N,\N
265,2598,6722,Ruby Airport,3832,Fairbanks International Airport,\N,\N
266,2599,6722,Ruby Airport,3764,Edward G. Pitka Sr Airport,\N,\N
267,2600,7098,Russian Mission Airport,5967,Aniak Airport,\N,\N
268,2601,7098,Russian Mission Airport,3599,Bethel Airport,\N,\N
269,2602,7098,Russian Mission Airport,5964,Kalskag Airport,\N,\N
270,2603,3620,Deadhorse Airport,3411,Barter Island LRRS Airport,\N,\N
271,2604,3620,Deadhorse Airport,3832,Fairbanks International Airport,37800,804658
272,2605,3620,Deadhorse Airport,7092,Nuiqsut Airport,\N,\N
273,2606,7209,Scammon Bay Airport,3599,Bethel Airport,\N,\N
274,2607,7117,Shungnak Airport,7180,Kobuk Airport,\N,\N
275,2608,6723,Shishmaref Airport,3615,Nome Airport,\N,\N
276,2609,6723,Shishmaref Airport,7187,Wales Airport,\N,\N
277,2610,7090,Shageluk Airport,5967,Aniak Airport,\N,\N
278,2611,7192,Shaktoolik Airport,7190,Koyuk Alfred Adams Airport,\N,\N
279,2612,7192,Shaktoolik Airport,3615,Nome Airport,\N,\N
280,2613,7192,Shaktoolik Airport,7088,Unalakleet Airport,\N,\N
281,2614,7240,Sleetmute Airport,5967,Aniak Airport,\N,\N
282,2615,7191,St Michael Airport,7088,Unalakleet Airport,\N,\N
283,2616,6724,Savoonga Airport,6715,Gambell Airport,\N,\N
284,2617,6724,Savoonga Airport,3615,Nome Airport,\N,\N
285,2618,7186,Teller Airport,7183,Brevig Mission Airport,\N,\N
286,2619,7186,Teller Airport,3615,Nome Airport,9253,109189
287,2620,6767,Togiak Airport,7206,Quinhagak Airport,\N,\N
288,2621,7088,Unalakleet Airport,3774,Ted Stevens Anchorage International Airport,\N,\N
289,2622,7088,Unalakleet Airport,7192,Shaktoolik Airport,\N,\N
290,2623,7088,Unalakleet Airport,7191,St Michael Airport,\N,\N
291,2624,5968,Chevak Airport,6716,Hooper Bay Airport,\N,\N
292,2625,5968,Chevak Airport,7209,Scammon Bay Airport,\N,\N
293,2626,3865,Valdez Pioneer Field,3774,Ted Stevens Anchorage International Airport,19442,485399
294,2627,7187,Wales Airport,7183,Brevig Mission Airport,\N,\N
295,2628,7187,Wales Airport,3615,Nome Airport,\N,\N
296,2629,7182,Selawik Airport,3693,Ralph Wien Memorial Airport,\N,\N
297,2630,7188,White Mountain Airport,7185,Golovin Airport,\N,\N
298,2631,7188,White Mountain Airport,3615,Nome Airport,\N,\N
299,2632,6725,Noatak Airport,6719,Kivalina Airport,\N,\N
300,2643,3876,Charlotte Douglas International Airport,2897,Hato International Airport,\N,\N
301,2664,3576,Miami International Airport,2895,Queen Beatrix International Airport,\N,\N
