,SRC_AIRPT_ID,SRCNAME,DESTIN_AIRPT_ID,DESTINNAME,seconds,meters,SRCIATA,DESTINIATA
1690,3520,Ronald Reagan Washington National Airport,100,Ottawa Macdonald-Cartier International Airport,32181,907140,DCA,YOW
1691,3520,Ronald Reagan Washington National Airport,146,Montreal / Pierre Elliott Trudeau International Airport,33050,953750,DCA,YUL
1710,3494,Newark Liberty International Airport,178,Calgary International Airport,129814,3836223,EWR,YYC
1712,3533,Fort Lauderdale Hollywood International Airport,146,Montreal / Pierre Elliott Trudeau International Airport,85592,2617735,FLL,YUL
1716,3714,Washington Dulles International Airport,146,Montreal / Pierre Elliott Trudeau International Airport,34092,986700,IAD,YUL
1723,3585,Indianapolis International Airport,193,Lester B. Pearson International Airport,28074,833198,IND,YYZ
1737,3458,Kansas City International Airport,193,Lester B. Pearson International Airport,52327,1594635,MCI,YYZ
1738,3878,Orlando International Airport,146,Montreal / Pierre Elliott Trudeau International Airport,76840,2336963,MCO,YUL
1740,3542,Harrisburg International Airport,193,Lester B. Pearson International Airport,23268,637799,MDT,YYZ
1742,3576,Miami International Airport,193,Lester B. Pearson International Airport,78592,2395507,MIA,YYZ
1743,3717,General Mitchell International Airport,193,Lester B. Pearson International Airport,31744,969494,MKE,YYZ
1750,3861,Louis Armstrong New Orleans International Airport,193,Lester B. Pearson International Airport,67668,2080967,MSY,YYZ
1764,3752,Philadelphia International Airport,193,Lester B. Pearson International Airport,27544,769245,PHL,YYZ
1765,3462,Phoenix Sky Harbor International Airport,193,Lester B. Pearson International Airport,115727,3536580,PHX,YYZ
1767,3626,Raleigh Durham International Airport,193,Lester B. Pearson International Airport,43039,1185076,RDU,YYZ
1768,3622,Greater Rochester International Airport,193,Lester B. Pearson International Airport,9366,260358,ROC,YYZ
1770,3731,San Diego International Airport,193,Lester B. Pearson International Airport,133500,4139335,SAN,YYZ
1772,3577,Seattle Tacoma International Airport,193,Lester B. Pearson International Airport,134098,4155029,SEA,YYZ
1780,3745,Syracuse Hancock International Airport,193,Lester B. Pearson International Airport,13196,387656,SYR,YYZ
2171,3469,San Francisco International Airport,1815,Del Bajío International Airport,121467,3205359,SFO,BJX
2174,3469,San Francisco International Airport,1821,General Francisco J. Mujica International Airport,126686,3406341,SFO,MLM
2188,3531,Kodiak Airport,3774,Ted Stevens Anchorage International Airport,59979,659450,ADQ,ANC
2189,5719,Walla Walla Regional Airport,3577,Seattle Tacoma International Airport,15444,449462,ALW,SEA
2190,3774,Ted Stevens Anchorage International Airport,3531,Kodiak Airport,59876,658304,ANC,ADQ
2193,3774,Ted Stevens Anchorage International Airport,3832,Fairbanks International Airport,22894,582106,ANC,FAI
2194,3774,Ted Stevens Anchorage International Airport,3664,Homer Airport,14751,358691,ANC,HOM
2195,3774,Ted Stevens Anchorage International Airport,3492,Juneau International Airport,71306,1361253,ANC,JNU
2196,3774,Ted Stevens Anchorage International Airport,3877,McCarran International Airport,200167,5450260,ANC,LAS
2197,3774,Ted Stevens Anchorage International Airport,3484,Los Angeles International Airport,211687,5485348,ANC,LAX
2199,3774,Ted Stevens Anchorage International Airport,3720,Portland International Airport,158485,3927915,ANC,PDX
2200,3774,Ted Stevens Anchorage International Airport,3620,Deadhorse Airport,61062,1379464,ANC,SCC
2204,3774,Ted Stevens Anchorage International Airport,3865,Valdez Pioneer Field,19588,485931,ANC,VDZ
2229,3673,Austin Bergstrom International Airport,3577,Seattle Tacoma International Airport,117354,3465735,AUS,SEA
2232,4021,Billings Logan International Airport,3720,Portland International Airport,47662,1428625,BIL,PDX
2233,4021,Billings Logan International Airport,3577,Seattle Tacoma International Airport,44140,1325708,BIL,SEA
2235,3777,Bellingham International Airport,3720,Portland International Airport,14830,426624,BLI,PDX
2236,3777,Bellingham International Airport,3577,Seattle Tacoma International Airport,6166,171183,BLI,SEA
2239,3495,Boise Air Terminal/Gowen Field,3945,Lewiston Nez Perce County Airport,18445,472639,BOI,LWS
2240,3495,Boise Air Terminal/Gowen Field,3720,Portland International Airport,23056,684063,BOI,PDX
2241,3495,Boise Air Terminal/Gowen Field,3731,San Diego International Airport,51343,1531626,BOI,SAN
2242,3495,Boise Air Terminal/Gowen Field,3577,Seattle Tacoma International Airport,27650,817832,BOI,SEA
2243,3495,Boise Air Terminal/Gowen Field,3748,Norman Y. Mineta San Jose International Airport,37401,1075458,BOI,SJC
2244,3495,Boise Air Terminal/Gowen Field,3817,Sacramento International Airport,31459,899413,BOI,SMF
2252,3644,Bob Hope Airport,3720,Portland International Airport,52689,1546394,BUR,PDX
2253,3644,Bob Hope Airport,3577,Seattle Tacoma International Airport,61015,1788899,BUR,SEA
2254,4020,Gallatin Field,3577,Seattle Tacoma International Airport,36313,1085138,BZN,SEA
2259,3819,City of Colorado Springs Municipal Airport,3577,Seattle Tacoma International Airport,73220,2236323,COS,SEA
2261,3520,Ronald Reagan Washington National Airport,3720,Portland International Airport,147160,4506996,DCA,PDX
2262,3520,Ronald Reagan Washington National Airport,3577,Seattle Tacoma International Airport,145423,4454243,DCA,SEA
2270,3670,Dallas Fort Worth International Airport,3867,John Wayne Airport-Orange County Airport,72831,2292600,DFW,SNA
2273,6916,Pangborn Memorial Airport,3577,Seattle Tacoma International Airport,9908,256139,EAT,SEA
2277,4099,Mahlon Sweet Field,3577,Seattle Tacoma International Airport,15808,436186,EUG,SEA
2279,3832,Fairbanks International Airport,3774,Ted Stevens Anchorage International Airport,22750,582465,FAI,ANC
2280,3832,Fairbanks International Airport,3620,Deadhorse Airport,38600,804966,FAI,SCC
2281,3832,Fairbanks International Airport,3577,Seattle Tacoma International Airport,141612,3485086,FAI,SEA
2283,3687,Fresno Yosemite International Airport,3720,Portland International Airport,42414,1228997,FAT,PDX
2284,3687,Fresno Yosemite International Airport,3731,San Diego International Airport,19428,552477,FAT,SAN
2285,3687,Fresno Yosemite International Airport,3577,Seattle Tacoma International Airport,50740,1471502,FAT,SEA
2286,4127,Glacier Park International Airport,3577,Seattle Tacoma International Airport,30262,851647,FCA,SEA
2287,3533,Fort Lauderdale Hollywood International Airport,3577,Seattle Tacoma International Airport,171563,5290075,FLL,SEA
2288,3467,Spokane International Airport,3720,Portland International Airport,18895,558791,GEG,PDX
2289,3467,Spokane International Airport,3577,Seattle Tacoma International Airport,15373,455874,GEG,SEA
2291,3880,Great Falls International Airport,3504,Helena Regional Airport,4694,137624,GTF,HLN
2292,3880,Great Falls International Airport,3577,Seattle Tacoma International Airport,35720,1040086,GTF,SEA
2293,3504,Helena Regional Airport,3880,Great Falls International Airport,4744,137889,HLN,GTF
2294,3504,Helena Regional Airport,3577,Seattle Tacoma International Airport,32639,957798,HLN,SEA
2295,3664,Homer Airport,3774,Ted Stevens Anchorage International Airport,14864,359585,HOM,ANC
2307,3492,Juneau International Airport,3774,Ted Stevens Anchorage International Airport,71509,1360402,JNU,ANC
2309,3492,Juneau International Airport,4147,Petersburg James A Johnson Airport,36671,251824,JNU,PSG
2310,3492,Juneau International Airport,3577,Seattle Tacoma International Airport,131235,2763014,JNU,SEA
2311,3492,Juneau International Airport,6803,Yakutat Airport,62998,435753,JNU,YAK
2312,3808,Ketchikan International Airport,3492,Juneau International Airport,68522,462897,KTN,JNU
2314,3808,Ketchikan International Airport,5969,Wrangell Airport,26440,167145,KTN,WRG
2315,3877,McCarran International Airport,3774,Ted Stevens Anchorage International Airport,201183,5461244,LAS,ANC
2320,3484,Los Angeles International Airport,3774,Ted Stevens Anchorage International Airport,211596,5481839,LAX,ANC
2336,3484,Los Angeles International Airport,1817,Loreto International Airport,55866,1383209,LAX,LTO
2341,3484,Los Angeles International Airport,7081,Mammoth Yosemite Airport,18527,502027,LAX,MMH
2344,3484,Los Angeles International Airport,1826,General Rafael Buelna International Airport,77847,2098180,LAX,MZT
2360,3484,Los Angeles International Airport,6992,Charles M. Schulz Sonoma County Airport,24625,711206,LAX,STS
2363,3484,Los Angeles International Airport,1856,Ixtapa Zihuatanejo International Airport,122423,3083589,LAX,ZIH
2364,3484,Los Angeles International Airport,1858,Playa De Oro International Airport,108462,2842363,LAX,ZLO
2367,3945,Lewiston Nez Perce County Airport,3495,Boise Air Terminal/Gowen Field,18553,433701,LWS,BOI
2368,3945,Lewiston Nez Perce County Airport,3944,Pullman Moscow Regional Airport,3155,61248,LWS,PUW
2369,3945,Lewiston Nez Perce County Airport,3577,Seattle Tacoma International Airport,19061,517856,LWS,SEA
2372,3878,Orlando International Airport,3731,San Diego International Airport,124905,3935432,MCO,SAN
2373,3878,Orlando International Airport,3577,Seattle Tacoma International Airport,161482,4971025,MCO,SEA
2376,4101,Rogue Valley International Medford Airport,3720,Portland International Airport,15704,451383,MFR,PDX
2377,4101,Rogue Valley International Medford Airport,3577,Seattle Tacoma International Airport,24030,693887,MFR,SEA
2381,7081,Mammoth Yosemite Airport,3484,Los Angeles International Airport,18654,498042,MMH,LAX
2383,3948,Monterey Peninsula Airport,3731,San Diego International Airport,24601,699734,MRY,SAN
2384,4216,Missoula International Airport,3720,Portland International Airport,29562,866810,MSO,PDX
2385,4216,Missoula International Airport,3577,Seattle Tacoma International Airport,26040,763893,MSO,SEA
2395,3454,Eppley Airfield,3577,Seattle Tacoma International Airport,87597,2671357,OMA,SEA
2396,3734,Ontario International Airport,3720,Portland International Airport,55357,1624748,ONT,PDX
2397,3734,Ontario International Airport,3577,Seattle Tacoma International Airport,63683,1867253,ONT,SEA
2408,3720,Portland International Airport,3774,Ted Stevens Anchorage International Airport,158433,3923272,PDX,ANC
2410,3720,Portland International Airport,4021,Billings Logan International Airport,47919,1430203,PDX,BIL
2411,3720,Portland International Airport,3777,Bellingham International Airport,15037,428627,PDX,BLI
2412,3720,Portland International Airport,3495,Boise Air Terminal/Gowen Field,23321,686020,PDX,BOI
2414,3720,Portland International Airport,3644,Bob Hope Airport,52785,1547032,PDX,BUR
2415,3720,Portland International Airport,3520,Ronald Reagan Washington National Airport,147142,4510969,PDX,DCA
2419,3720,Portland International Airport,3687,Fresno Yosemite International Airport,42651,1230599,PDX,FAT
2420,3720,Portland International Airport,3467,Spokane International Airport,19099,560137,PDX,GEG
2424,3720,Portland International Airport,4101,Rogue Valley International Medford Airport,16007,453255,PDX,MFR
2425,3720,Portland International Airport,4216,Missoula International Airport,29907,867398,PDX,MSO
2427,3720,Portland International Airport,3734,Ontario International Airport,55532,1626086,PDX,ONT
2430,3720,Portland International Airport,6133,Tri Cities Airport,137043,4225293,PDX,PSC
2431,3720,Portland International Airport,3839,Palm Springs International Airport,59543,1745049,PDX,PSP
2435,3720,Portland International Airport,3949,Santa Barbara Municipal Airport,52416,1537683,PDX,SBA
2441,3720,Portland International Airport,3867,John Wayne Airport-Orange County Airport,55811,1635314,PDX,SNA
2442,3720,Portland International Airport,6992,Charles M. Schulz Sonoma County Airport,36949,1005555,PDX,STS
2443,3720,Portland International Airport,3636,Tucson International Airport,77727,2232165,PDX,TUS
2452,6133,Tri Cities Airport,3720,Portland International Airport,136686,4221877,PSC,PDX
2453,6133,Tri Cities Airport,3577,Seattle Tacoma International Airport,140048,4297221,PSC,SEA
2454,4147,Petersburg James A Johnson Airport,3492,Juneau International Airport,36603,251743,PSG,JNU
2455,4147,Petersburg James A Johnson Airport,5969,Wrangell Airport,12493,80745,PSG,WRG
2456,3839,Palm Springs International Airport,3720,Portland International Airport,59346,1737770,PSP,PDX
2457,3839,Palm Springs International Airport,3577,Seattle Tacoma International Airport,67672,1980275,PSP,SEA
2459,3839,Palm Springs International Airport,3817,Sacramento International Airport,27325,805411,PSP,SMF
2460,3944,Pullman Moscow Regional Airport,3945,Lewiston Nez Perce County Airport,3184,61172,PUW,LWS
2461,3944,Pullman Moscow Regional Airport,3577,Seattle Tacoma International Airport,17243,474066,PUW,SEA
2463,4103,Roberts Field,3577,Seattle Tacoma International Airport,18903,484742,RDM,SEA
2469,3807,Reno Tahoe International Airport,3748,Norman Y. Mineta San Jose International Airport,14623,405023,RNO,SJC
2473,3731,San Diego International Airport,3495,Boise Air Terminal/Gowen Field,51604,1535513,SAN,BOI
2477,3731,San Diego International Airport,3687,Fresno Yosemite International Airport,19441,553306,SAN,FAT
2480,3731,San Diego International Airport,3878,Orlando International Airport,125241,3930741,SAN,MCO
2481,3731,San Diego International Airport,3948,Monterey Peninsula Airport,24878,701259,SAN,MRY
2485,3731,San Diego International Airport,1836,Licenciado Gustavo Díaz Ordaz International Airport,90951,2361153,SAN,PVR
2489,3731,San Diego International Airport,6992,Charles M. Schulz Sonoma County Airport,30933,894621,SAN,STS
2490,3621,San Antonio International Airport,3577,Seattle Tacoma International Airport,115950,3463651,SAT,SEA
2492,3949,Santa Barbara Municipal Airport,3720,Portland International Airport,52001,1536548,SBA,PDX
2493,3949,Santa Barbara Municipal Airport,3577,Seattle Tacoma International Airport,60327,1779053,SBA,SEA
2494,3620,Deadhorse Airport,3774,Ted Stevens Anchorage International Airport,60020,1378687,SCC,ANC
2496,3577,Seattle Tacoma International Airport,5719,Walla Walla Regional Airport,15596,451852,SEA,ALW
